,Rating,Title,Review,Review_Date
11,1.0,Not worth it at all,"I bought this printer because it ""supposedly"" has wifi printing!!!Surprise, surprise ... just couldn't set up the wifi connectivity.Firstly, the set up instructions are incomplete and if one goes through the manual, the QR scan takes you to youtube videos which is not helpful at all.Secondly, during the setup, which I tried with my MacAir, it keep saying that please check the code sent to your machine or mobile to continue. There was none sent to me on my MacAir, none to my email address and none to my mobile ... how could they when I had not even set it up? So... couldn't continue.Thirdly, I went to the website given in the manual - ij.start.canon ... useless. The model number is not even present.Fourthly, went to the Canon India website ... again no model. The closest was E4270 while the printer that I purchased was E4200. Downloaded the driver & wifi setup ... went through the procedure ... THOUGH LUCK!!!Fifthly, wanted to return it ... couldn't; the option for return was not available ... I had to book a ""SERVICE CALL"" for someone to come and set it up for me.MORE SURPRISE ... the technician called up asking for directions and finally never came. When I called him way past the allotted service time, I was told to send a video of the printer because it was a connectivity issue and the only way to rectify it was to get a replacement for which he needed the video.I have sent the video and as I waiting, I got a mail saying that your service call has been completed ... please rate the same ...I am at loss of words.All that I want now is to return the product and for the seller to return my money!!!!",14 June 2022
12,3.0,"Good, however I am getting a line when printing through add.",A line is coming in prints if ADF is in use.,21 May 2022
13,3.0,Nice average product,I liked the product but it has some merits and demerits as well first of all priter is easy to use and does not need any laptop and computer for priting and scanning you can use your mobile phone for printing and scanning. It takes time to get settle down take more time than usual if you are printing through computer or laptop. Cartridge ink is very costly. You will get black cartridge at Rs 649 on Amazon and 899 for colour cartridge. My opinion is average for this product. But good product at this price.,9 January 2022
14,5.0,Good 👍👍,Good 👍👍,12 August 2022
15,5.0,Excellent,It's really genuine Canon product. Before buying make sure take proper course how to operate it and its setting. Bcoz most of the time it will appear offline due to different setting issues with ur laptop and printer. Best one to operate by ur phone.,17 July 2022
16,2.0,Average product!,"Average color print quality and not ink efficient, drains up pretty quickly. It fits for a light use and definitely not recommended for regular usage.",20 August 2022
17,2.0,Not a long term use Printer,Purchased in May 2020. Had low usage in 2 years. The printer just stopped powering on few weeks back. Today was informed by canon service center that this pixma E 4270printer parts are not available from canon to fix the power on issue. Do not recommend to buy this product for this reason. Otherwise it was user friendly and easy interface at this price point. Convenient wifi printer.,29 June 2022
18,5.0,"Very good product in low cost,","Very good product in low cost, and print quality, scan, copy very good,",3 August 2022
19,5.0,Canon printer,Fantastic,9 August 2022
20,1.0,A good printer while it lasts,"--- Update 11th Aug 2021 ---Printer stopped working after about a year. It stopped accepting paper. I've cleaned the feed roller behind the tray and the transfer roller accessible from behind, yet to no resolve.The canon onsite technician visited home to take a look. Tells me the problem is with the paper pickup assembly and not with the feed roller. Charged Rs. 650 in service fees without spending even 10 mins to check the printer. He said I should bring the printer to their service center but assembly related issues can rarely be fixed. Instead they may try to give me a replacement printer for a discount.The printer has no dust deposits outside or inside and has been used about 20 times so far for help with a 10 yo kids homework assignments and some photo prints. I only used original ink cartridges which were replaced once so far.I am writing this to help you decide whether owning a printer vs getting your prints from a print store nearby is a better option for you. I feel like unless you want to frequently (more than four time a week) need to take printouts without which your work cannot proceed, you should avoid owning a printer.--- Original review ---I am a veteran IT worker, have used numerous MFPs at work over the years. I always admired features such as duplex printing, ADF and scan to email in those huge expensive network printing machines.Now you can enjoy most of those features (and more) in home printers such as this one. The printer was fairly easy to setup, and I started printing over WiFi using my laptop AND my OnePlus phone, in no time at all. I also use the printer to help my nephew with his homework assignments and so far everything has been working great.I even took some prints for photo frames etc on glossy photo papers and those too turned out fabulous!The printer is well worth the money and the ink cartridges can last adequately if you take the time to learn how to use it properly.Quick tip 1 - The better the quality of printer media the better the print turns out. So make sure you use good quality paper when you expect the best quality print; whether for photos or regular document prints.Quick tip 2 - Make sure you know how to use photo editing software to get the exact size of print outs you really want. If you use A4 sized paper and mistakenly print a 4x6 with borderless printing, you will end up wasting a lot of ink, for a picture you may not use after all.",8 October 2019
21,4.0,Good performance cheap built quality,Printing quality is good. Easy to install and instructions are helpful. Built quality is quite cheap.,23 March 2022
22,4.0,Quality not very good,It's ok,17 April 2022
23,5.0,Print cost to high,I suggest you buy a ink-tank printer not ink-jet printer go and see diffrence between them,31 July 2022
24,4.0,Good printer for home use,Printer set up is little difficult. Once you set up u can print from device on wifi without any app. Print quality is good. Black and white draft mode great action for reducing ink consumption. Draft mode print quality is good. ADF is working great. Yet to try out colour printouts,29 January 2022
25,1.0,Amzon Seller Thugs my money...,"I had ordered this product (Printer) on Amazon on 15th of June and received delivery on 17th. I found that product was not working properly as it was defected. So I made a request for replacement. On 18th delivery boy came n refused to give me replacement delivery by saying that Serial no. not matching with my records. I called customer care and told them all the incident. They said that we r making a return request for ur product n we will refund ur money in this case. On 20th of June product picked up by Amazon boy. After 3-4 days I called to Amazon n asked about my refund as I had to order a new product (Printer) which I need it urgently. They said ur return product is returning to the seller. So u have to wait for 4-5 days more. After 5 days I called again, they said we r investigating ur issue, so pls wait more 3 days. Finally I called them on 4th of July. This time they said we can't refund u as our investigating team decided to that. My hard earned money (Rs. 8499) gone.",29 July 2022
26,4.0,Good customer service,"Initially had issues using the printer ..whole ink was exhausted by the time I realised what is the mistake I was making. But later on it was good ..we use it for printing max 2-5 papers a day.Special mention to their customer service...it's amazing...they have even whatsapp support.If it is for home and your usage is max 5-8 papers a day , you can happily opt for this.Tip: The obvious mistake I did initially was feeding a slightly folded paper... which damaged the belt of printer as paper used to get stuck inside printer. So make sure paper you are feeding is plain.",11 August 2021
27,3.0,Not too good,"Home use, print was very delicate,the quality of the print is not so great.",24 April 2022
28,5.0,"working through mobile only,. CD is not working need to install in laptop",Please sendgood one,30 July 2022
29,5.0,Excellent Printer.,Handle for Easy.,30 July 2022
30,3.0,DO NOT BUY - TOO HIGH MAINTAINANCE COST,Updated review after 3 months of usage :•Too high printing cost.•The installation is good but wifi print is easy to set up. Your device and printer need to be connected to same wifi thats all.•The package was not well packed with bubble covers. However they kept brown paper of 1-2 meters in the amazon box along with the printer box.The piece is pucca and new. So the seller can be trusted.•Fax option is good for the price.•The print quality is good but takes lot of time to process and print it.•My previous canon printer process late and papers get jammed often. Same problem is seen here.•Cadrige and all stuffs are verywell packed. The cadridge can be refilled with syringe either by yourself or any local refill shop. But it runs out very quickly. Thats too bad for emergency uses. You should buy couple of cadridge as you never know when it'll run out. For me it hasn't even took 50 papers (of written documents) for full refilling.•my opinion : i regret buying this. Reading all good reviews i brought this crap. I honestly suggest you to not buy this.•No canon inkjet printers are useful for home purposes.,1 June 2020
31,4.0,Good,Good,16 March 2022
32,5.0,Good printer with adf and dual side prints at this price point,"For starters, installation was a cinch - started with the mobile. Worked flawlessly over wifi on mac, iOS a d android devices.It takes a few tries to get the ADF scan to work well, set the paper guides correctly and it does a good job after that. If the correct size isn’t set via the guides, the sides could get chewed up and the scans would become angled.Dual side print worked well. Again, it’s important to get the setting of the paper width / guides at the right position. Once this is done, papers go in smoothly and get spit out well. Interesting, the prints come out in the reverse order, unlike other printers. If you’re someone who wants to read as it comes out, you may have to wait until the end.Canon has done a fairly good job coming up with a home printer with these features at this price point. No wonder it’s not easy to get your hands on this printer easily.While Ink Tank printers are good for larger volumes, for someone who has a need to print a few pages randomly, this may be a good choice.",25 July 2021
33,4.0,"Works, but not amazing.","I don't have regular use of printing. And it does the job just alright when there's need. It's been a few months and now the paper feeder has started having problems.Pros - Cheap, duplex works fine, haven't tried the feeder from the top, fax, or anything else but I'm pretty sure those functions would do well as well. Direct Wifi works flawlessly. Having multiple ways to connect kinda makes it confusing but works smoothly.Issues - (1) It doesn't take in the paper no matter what I do, unless I actually force the paper in when the feeder rolls. I've cleaned it, used less paper, more paper, new paper, old paper. I have to push it in.(2) The ink is kinda expensive. It doesn't really cost as low as whatever the description will say, but having a printer at home is about saving time and ease of use. So, doesn't matter that much to me.",27 November 2020
34,2.0,Not satisfied,"Worst Product, even not complete 4 months, it's not working..ink cartridge complete with in 10 days every time, only 5 to 5 page..no service available..",7 July 2022
35,4.0,Great printer for home use.,"A product that deserves 5 stars, however there are a couple of points that are really annoying. Two outstanding features of this product are viz Auto Document Feeder and Auto Duplex Printing. Both these features work like a charm.The LCD screen and keypad, both of which are of importance should have been ergonomically placed rather than the awkward position that they are in now. Also the LCD screen should have been bigger and backlit.Print quality is superb for B/W and colour prints.I am using the printer with native settingshence ink consumption is a little bit on the higher side. Also ink cartridges are a little pricey.Initial setup was quite annoying as Canon seems to have forgotten to mention that the printer needs to be first connected to the Wi-fi network to function correctly. Setting up the printer was a good learning experience for me.",24 November 2020
36,2.0,It gives nearly just 80 printes only then ink cartridges completely over.,This printer gives nearly just 80 printes only then ink cartridges completely over. But in this printer features told it gives 400 printes. Atleast this time tell me suitable ink cartridges for this printer.,11 June 2022
37,5.0,It's just a awesome and very helpful,I like this product very much,14 July 2022
38,5.0,Best among the Cheapest,"Printing quality not bad All in one, fax, printing,scanning both side printing wothout turning the paper automatically the paper prints both side of the paper. Scanning clearity too good",18 June 2022
39,4.0,Low price me best printer 🖨 👍😍,Good printer 🖨 👍 I love Amazon 😍,7 February 2022
40,2.0,Poor performance and cheap build quality,The digital display is useless. Printer works very slow. I have Canon m232n much more better then this. Very disappointing performance.,29 June 2022
41,2.0,Printing quality should be clear. It’s quite shabby.,Printing Quality is very low & it’s too much time taking process,12 July 2022
42,3.0,Other lesser printer only like.,,5 April 2022
43,3.0,Double sided print not working.,Duplex print not working. Otherwise everything okay.,24 March 2022
44,5.0,Perfect,All in one perfect printer for home and office use..,6 July 2022
45,3.0,Usage is difficult,"Print quality and installation is easy, also they have very good mobile app which can interact easily with device. But ease of use is very difficult. Like most common use case ""Print ID card both sides into one side of paper"" for this u have to change options which are not straight forward.",19 December 2021
46,4.0,Cost worthy,"✔Canon pixma 4270, the printer that I bought for home use particularly for my baby.  Hence, on that point of note it's more than sufficient.✔I'm using windows 7 ultimate 64bit software (ofcourse outdated)  for which I couldn't find the given CD useful. For me installation was really difficult perhaps, I should update my OS to win 10.✔Connection via mobile was super quick✔All you gotta do is download and install canon PRINT Inkjet/SELPHY from play store (android  user) that's all, printing is that easy.✔ Along with the printer they provide us with 2 ink cartridges, CD and a user manual. I just followed those instructions from the manual and few YouTube videos✔ Be it Xerox, scan, copy, duplex print or photo print it does the job for the given cost. Bought it on Great Indian Festival  Sale for 5200/-Update:✔ The cons that I found was the ink cartridges doesn't last longer as they quote. I printed less than 50 copies even before that it shows 25% of ink. Pathetic!✔ Dear buyers, invest 2k more and opt for an ink tank printer✔ While printing use papers that is 80GSM or more",11 October 2019
47,5.0,Nice product,"First of all , thanks Amazon for super quick delivery.It supports all the functionalities that is required for home use. The best features are, WiFi and Auto feed.The driver is available online. I downloaded from net and installed on my Windows 10; very easy to install. Android app is also easily available and easy to connect with the printer. Got the print out and scanning done from both pc and mobile phone.Few reported issue with page detection, I also faced the issue first time. But, got rid of it once went through the instruction.Print quality is Ok, as I set the quality as *Standard*.Need to find out solution for the expensive cartridge :)I guess Canon provided driver for Ubuntu. But, did not find any driver for Rpi platform for Ubuntu.=> Like to add, recently installed driver for unbuntu 20 for Rpi platform. Not many options are available but, working.",1 August 2021
48,2.0,How to resolve overlapping problem,When we take the printout the word is overlapping.Please provide the solution.,30 June 2022
49,2.0,Printer uses Color cartridge to print Black & White,"Good printer but expensive cartridge price. Also, you have to buy color and black & white for the printer to print.  BUT it uses a more expensive color cartridge to print pure black & white documents.  No way to select black & white only mode.",11 May 2022
50,1.0,Very very pathetic product,"Very slow came out the print ,every time  show the error ,Wifi connect but print are going slow .it's not value for money ,pl take return it",8 September 2022
51,3.0,Easy to setup,"Writing the review on receiving the product. The printer was super easy to install. Took less than 5 minutes to download the app and set it up. Supports AirPrint so I can now easily print from my iPhone. Print quality is good and speed is okay ( faster than my previous hp printer but obviously not as fast as a laser printer). Offers auto duplex & auto document feeder making printing work so much easier and hassle free. Cannot comment right now on the economy of the cartridges, will have to update after a few months. However, one con of the printer is that canon has not supplied the manual. Only a few pages mentioning how to set up the printer have been supplied. What is the use of having a great feature full product if I don’t know how to use most of the functions! One has to download the detailed manual from their website.Edit (after 2 years usage): The printer ink is very costly and runs out after a few prints. Refuses to print black and white pages if the colour cartridge is running low (even with a completely new and full B&W cartridge). To top it off, ink cartridges are not easily available.",20 July 2019
52,5.0,Efficient printer,Efficient printer,8 July 2022
53,5.0,Good quality,So far so good.. Lets see,27 June 2022
54,4.0,Worth to buy,The product is good.,9 January 2022
55,4.0,Good duplex printer,Good product with Good print quality.Bit difficult to install.i feel good about print quality,30 November 2021
56,5.0,worth every penny,great product at reasonable price,18 June 2022
57,5.0,The perfect printer for home office use,Easy installationWorks as expected,21 June 2022
58,1.0,. Its its not proper and and lot of defects. I had lodged the complaint in the given time.,Its very hard to handle and not economic to get the prints comparison to other brand printers. The catridge rate is too costly.,28 August 2022
59,3.0,"clumsy printer, 2-3/10 pages crumbles.",I wont recommend this printer for non-IT people.. flimsy components.. ruggedness not there. pages crumble or jams pretty easy..,4 January 2022
60,1.0,"Waste of money, Paper Feed issue - Cannot be resolved","It's made to fail and scrap. Paper feed doesn't work after couple of months. Suddenly it happens and never able to recover. Cannon company service charges more than 50% of printer cost for roller replacement. To take a print, have to waste atleast 2-3 papers, open the rear to remove stuck paper. 90% of time, doesnt pick up the paper. First 1-2 months it works ok. But after that, some thing happens which makes the paper doesnt go in. The Cannon authorized service agent says its standard problem with all Cannon printers for home usage. And if needed purchase which is costing 50K + used in office - a Very wise and good suggestion from Cannon representative. The complete money is wasted in purchasing this printer.",4 July 2022
61,4.0,Good,Good,29 December 2021
62,4.0,Truly Very bad,This is very bad product and very very problem creat .So I request please don't buy .,10 October 2021
63,1.0,Paper Jam while opting for Auto Duplex printing,Paper is getting jammed.Auto duplex printing is not happening,8 September 2022
64,5.0,"PERFECT PRINTER, PLEASE READ IN DETAIL.","BELIEVE ME , IT FEELS A BIT FISHY THAT YOU CAN GET THIS PRINTER FOR MERELY 7000RS. ITS A BEAST! I DONT UNDERSTAND WHY THIS IS NOT THE BEST RATED BUDGET PRINTER ON AMAZON?! I HAVE ATTACHED A PRINTED PICTURE TO DEMONSTRATE THE EXCELLENT QUALITY FOR THIS PRICE POINT . CONNECTS DIRECTLY TO YOUR SMARTPHONE WITHOUT THE NEED OF AN ADDITIONAL ROUTER, FEATURES ADF AND DUPLEX PRINTING WHICH ARE EASY TO USE AND SUPERB FEATURES IN SAVING TIME.I REVIEWED ALMOST EVERY PRINTER THAT'S AVAILABLE ONLINE UNDER 10000RS AND FINALLY WENT AGAINST THE LEADERBOARD AND MADE A BOLD DECISION TO BUY THIS PRINTER OVER DOZENS OF OTHERS THAT HAD BETTER RATINGS AND I AM SO HAPPY WITH MY DECISION NOW.THE ONLY CON OF THIS PRINTER: THE 57S CARTRIDGE YIELDS A LOT LESSER PAGES THAN ADVERTISED, APART FROM THAT , THE 47 AND THE 57 (NOT SAME AS 57S) YIELD A PRETTY SATISFACTORY AMOUNT OF PAGES.ONE WORD, DONT GIVE YOURSELF A HEADACHE TO CHOOSE A GOOD PRINTER UNDER BUDGET, GO FOR THIS ONE!",14 October 2019
65,5.0,Very good printer,"I bought this for some light printing at home - the Wifi function is quite useful and does away with the need to connect the printer to a computer, although it does take a few more steps involving installing an app on your smartphone etc. Wish the LCD was backlit since it would have aided visibility during installation - minor quibble only because the printer was placed in a corner without much light. Haven't had to use the LCD after the setup. Printing in draft mode is quick and uses less ink. The ink consumption is slightly on the higher side - not such a big deal since replacement cartridges are on the cheaper side. For higher volume printing, I would suggest going for a Brother monochrome laser printer which will be much quicker and with higher yield per toner cartridge.",30 November 2020
66,4.0,Product is good,"Print quality is good, easy to install both system and wifi. But the number of colour print taken near to 50 to 60 pages. Overall use for home purpose only.",20 July 2021
67,4.0,This Printer is really awesome and print are high quality,Printer is really awesome and very easy to install n use instantly.Printouts are high quality and we are impressed.No doubt.. just go ahead and make it yours.,28 July 2021
68,5.0,Good quality,Excellent quality,2 June 2022
69,1.0,Bhut bura product h kabhi mat lena esa,"The media could not be loaded.
                



 Ye photo copy kabhi nahi karta wakbas h ek month bhi nahi chala bhul kar bhi na lhardna",16 September 2022
70,4.0,Luxury at home,"Around 7/- for black print,  colour over 20/- per page",11 September 2021
71,4.0,Review after 1 month usage,Decent print quality. Canon never disappoints - bought for small home office. Serves the purpose well 👍,17 August 2021
72,4.0,Quality,Nice..,17 November 2021
73,2.0,"Average printer, but poor connection","The device is good for printing color and B/W documents, but the device does not have a LAN port. Therefore, the only way to connect it is either using USB (non network mode), or using Wi-Fi. I am using the latter, and I have constant trouble in finding it on my LAN computers. Its almost useless for me now as a network printer. My suggestion would be to go for a wired LAN printer for anyone who needs a network printer. The scanner works and quality is ok, but works only when triggered from computer (I had to install NAPS32 software for this); one click scan from MFP didnt work. Haven't tried other functions, so cant say about those. For the build quality, its plastic and is poorly built (the trays have a lot of wobble), and paper alignment will therefore, always be a challenge. All in all, if you want something not too expensive, plan on using it without network connection at one location only, then this may work. If you want something that works on a network, and can take care of a home/ small office print/ scan/ copy needs, I wouldn't recommend it.",19 July 2020
74,5.0,So far so good,Used it for a couple of prints. They turned out nice. Hopefully it’ll continue working as advertised.,19 April 2022
75,1.0,Very bad,Very bad,10 September 2022
76,2.0,Cannon brand not getting reflected.. printer not upto mark,"Name is bit misleading as it consumes lot of ink with very less printing pages.Faced an issue and it was told that post warranty, it is use and thrown. In case you face an issue then there is no fix for it unless it is just paper jam issue.I believe Cannon should review the support policy and also more efficient printer as claimed .",6 October 2021
77,4.0,GOOD for home use,"I had HP printer earlier. I wanted a change. Printing speed is slower then HP but print quality is better. Difficult to install as compared to HP,size is also bigger but it has more features. I can't comment on photo printing since, I have not done,must been fine. I have not checked for how long ink lasts but it seems it must be giving adequate number of printouts as claimed by company. Ink cartridge is costly",4 March 2020
78,1.0,Very bad product .,Product is of old version. CD is not provided those days with productCouldn't install well even at the hands of expert and experienced hands.Print quality is not good .I want to replace this product.,10 July 2022
79,3.0,"Slow print, Good print Quantity, Cost per print is high","The printer is lil bit slow guys ! Only buy if u want to use it ocassionally, for heavy printing it is not good...if you are thinking in 7000 you are getting scanner, colour print..but the cost per print is more...if you want only B&W print and at faster rate then go with Canon 2900 cost around 11k but worth investment.One more thing it have no return policy remember this👍",7 December 2020
80,4.0,Best Printer in this Price 6k,"Bang for Buck but refilling costs you badly, if you don't refill ink with syringe. Got for 6kYou will see change in quality of output if you use non branded ink which cost us less. Original ink recommended for Glossy Photo papers.For day to day office use local ink refill is enough but it may clogged periodically careful while choosing ink without sediment formation.",11 July 2020
81,3.0,Decent product.,Pros.ScannerPrinterMobile appWirelessLegal paperAuto scanning from dual trayConsIt's inkjet so watch your printing.Bad in terms of paper pulling take only If your average printing is lessCostly now due to covid had bought in discount then.Pairing was not so easy as mentioned,28 April 2021
82,2.0,High cost of cartridges,Very low yield and cartridges are high cost.,19 April 2022
83,4.0,Nice product,"Got it delivered today, on time as mentioned in Amazon. Tried a few sample printouts and it has come out well. Canon has to give a little bit more sturdy top cover, i mean the cover for scanner, looks very flimsy. Other than that product is excellent. A noiseless printer. easy to connect through mobile.",27 October 2020
84,3.0,Review after 8 months,"Worked really awesome, print quality is not best but good enough, purchased in 6500 during sale, Fax doesn’t support VOIP line, worked with only PSTN. Overall 4/5",25 July 2021
85,4.0,Reasonable MFP for Home use with USB or WiFi,"This Multi Function Printer can Print Color and B&W, Scan, Copy, Fax with Both Side printing and ADF feature besides easy to install. It comes with a set of Color and B&W cartridges with the Printer so need to buy extra initially however number of prints from these cartridges is far less than promised. Works well with USB and WiFi for both computers and Smartphones but quality of Prints from Mobile application is not good. Initial problems with Head aligning can be resolved by reinstalling cartridges once.",2 October 2019
86,1.0,Waste,Waste product don't but it,21 August 2022
87,3.0,"Decent Buy ! Not sad, niether too much charmed !","Material quality is not so great.However not yet faced any issues in printing.Considering price, I think it is a decent buy.",1 August 2021
88,5.0,Been using it for a year,I bought this printer mostly as a scanning device to keep all the documents in an easily accessible digital format. I didn't intend to use it for printing. I could have gotten something else but am glad I got this one. This has come in handy quite frequently now.,5 December 2021
89,1.0,Not simple to use for freshers,Not simple operations.,27 August 2022
90,4.0,Great product for home use,"Print quality is really good , this is a go for home and school use : )",21 April 2021
91,1.0,Wast proedect,Wast,29 August 2022
92,4.0,"a good printer, unwieldy scanner","Printing is fairly simple and good.Decent speed of scan and the mobile phone interface for both scanning and printing is a big plus.The user interface of the scanner is terrible. Having grown used to the cano-scan toolbox which was straightforward, this is a most convoluted interface.Setup is totally confusing and with error messages and whatnot. If you are technology challenged, this is not the device for you.",18 December 2019
93,5.0,Very good product 👌,I am using for study purposesAnd it helps me so muchIt saves my time,12 March 2022
94,2.0,All good except promised print count not up to the mark,All good but after 50 printouts had to refill. This is way too costly than getting a copy from a Xerox shop. That’s the reason give 2 star.,28 January 2022
95,4.0,Good product for price range.,"Great features especially getting ADF for the price range along with flat bed scanner and wifi can be completely operated by mobile device.( Though setting up wifi initially may get frustrating).Print quality is average especially colored prints look faded, however in tolerable threshold for home use.",21 August 2020
96,1.0,Bahut kharab hai,Rong,26 August 2022
97,4.0,Easy to set up,Simple to install. Have been using for a month. No issues and satisfied with the product. Teeny thing which could have been better is the way the print rolls out and the page tends to fall from the edge.,18 December 2020
98,1.0,Simply the worst,"I am writing this review after using it for 10 months. I must say that I have struggled with this printer from the very first week. I have bought the printer for home usage, some basic printing for my son's homework, or my own basic printouts (tickets, forms, etc.). The first set of cartridges did not even go 100 prints and we had to buy new ink. Moreover, every now and then the printer stops working for very basic reasons. Papers get stuck or wrinkled or torn inside very frequently and then it becomes difficult to find the small pieces of paper which remain inside. I have an HP printer at my office, and frankly, though that one is costlier than this one, that one is also much much better than this one. The Canon printer has lots of unique features, Wifi-dual-colour, which is impossible at this price. However, what is the use of having such features if the printer remains bad for most of the days. I strongly recommend against purchasing this product.",14 September 2021
99,5.0,Good printer only for home use,"You will get 400 pages for blackand 180 pages for coloras mentioned on box.i would suggest its better to go for this product if you are certain thatyour monthly usage is not more than 30 pages . cause the print cost and ink cost is not very economical.also i have checked scanning and other functions they are working well.mobile printing, desktop printing, wireless printing. everything is working perfectly.This is my 1st printer and everything is fine so i have no regrets atleast for now.",19 October 2020
100,4.0,Khot khot awaj,15day,10 August 2021
101,5.0,Go for it,"Writing review after 3 months of buying this product.If you are looking for a home printer with a range of 5-7k price. I think you don’t need to think twice to by this printer. Quality of photocopy, scanner and printer is really good. I have already printed around 150 sheets, still the black cartridge is half full.Multiple setting options available to print and scan according to our needs.Build quality is ok. Very easy to install.This will not disappoint you.",14 January 2021
102,3.0,BUT dont go for inkjet printers........,Overall the product is a good quality one at this rate with all the latest features...BUT....i would recommend spending some extra 3-5k and buy an inktank printer since the cost of catridge for this printer is quite high.....and dont ever think of refilling the catridge at home by yourself i will be a big mess..........so go for Cannon or Epson inktank printers only.,22 June 2020
103,5.0,Value for Money,"Nice Product, Easy to install & use",17 March 2022
104,3.0,Price worthy but within week I'm facing technical,Price worthy but within week I'm facing technical,13 August 2021
105,1.0,Paper keeps getting jammed,Paper keeps getting jammed all the time. Print quality however is pretty good but paper jam issue makes it a headache to print every time.,4 July 2022
106,3.0,Choose other printer model,Cartridges cost is too high and ink empty quickly.. I print 10 to 25 pages only..,30 June 2021
107,5.0,Comfortable,Nice,14 April 2022
108,5.0,Product is very much better than HP,Product is working nice. Print and photo copy both are good quality. Automatic printing is working well.  Scan is not yet tested. Overall better than HP printers.,1 January 2022
109,3.0,Budget friendly,"Easy to install, easy to useHandy applicationCan print 300-350pages on medium quality print200pages on high quality printing on a single go.If you have more than 100prints a month go for a ink box printer.",15 March 2021
110,4.0,Good product but little soft felling and colour print manageable,Good,8 June 2021
111,5.0,Good,I Like it,3 March 2022
112,4.0,Quality product.,"Since I bought this printer,  I do not find any challenges.Its east to use and printer is awesome.I would say ..Very good.Thanks to Amazon.",28 July 2020
113,4.0,Very good for small office or study purpose,Good,5 June 2021
114,4.0,Good one,"A good one, looks Cool, got at 5999, easy to install, easy to print & copy (I have not done the scanning part, yet). Printing time's okay, printing quality is good on plain paper(have not tested printing on photo papers ). Amazon's delivery & packaging was timely and good. I would recommend this.",11 October 2019
115,4.0,Good one,Good one. Though sometimes connecting to wifi and getting print gets challenging. Colour cartridge also seem to be over earlier then expected.,7 November 2020
116,3.0,Ok,"Printing cost is high . The printer is reliable , but the black PG47 catridge is 560 rupees and only prints around 60-70 pages , so printing cost is around 10 rupees per page .",30 November 2020
117,4.0,Good performance but build quality not good,Keeping one star for not good build quality. Material feels cheep build is certainly not sturdy.,22 January 2021
118,1.0,Worst printier and worst service from Conon,"Purchased this printer for my son, for his tracing worksheets, as I need lots of copies for same worksheets.  The print comes ok but as I take copies it goes faded copy by copy. The technician took three days to come after following up multiple times after being purchased new and in warranty, and said, you have to take a colour copy of black & white picture as Black & white cant take grey colours ... how Amazing...and after taking colour print take colour copy not B&W, but after doing that way also it did not come so he said Madam it will come this way only. you need PDF to print, JPEG is not good to print, can't do anything. Now even after having an all in one printer, cant take copies of worksheets having dotted lines. Fully useless printer, waste of money. Feels like throwing it in the garbage as it's not serving the purpose and occupying the space. and the icing on the cake is you can print from your cell phone but cant opts for the option of duplex printing. The worst product I have ever seen as a printer.",8 September 2020
119,4.0,"Good printer for given price, but built quality is not great","The printing quality is goodIts printing fastI have complaint on build quality, its thin plastic and need to be careful while handling things with printer.Its just 2 weeks now, i see problem printing A4 sheets and there is no proper document to fix it.",12 November 2019
120,2.0,Not at all ink efficient,Not at all ink efficient,9 February 2022
121,5.0,Quality printing  easy to setup and duplex printing.,I use to print workbooks for my kid.,3 February 2022
